t_center,scheme,c2,gamma,nu
2.52,fwd20,3.8448306191833845,0.8443192994297517,0.2178015312444509
2.52,ctr20,4.063328853962194,-0.10787372012126781,-0.050891344466781424
2.52,ctr50,3.7806857971405847,-0.10155118572435397,0.001680563656288346
2.54,exact,4.052149978143045,-0.12114707263829697,-0.01696305875923551
2.54,fwd20,3.8152334541403876,0.8675110020886954,0.22017007535713412
2.54,ctr20,4.010389663562673,-0.1485202243618837,0.005869293008201215
2.54,ctr50,3.7906748820692733,-0.31089263800833755,0.15015826451865175
2.56,exact,3.898139026030096,-0.12815069229805282,-0.00976358329253399
2.56,fwd20,3.8556767133857877,0.8899346817053009,0.22180590964284774
2.56,ctr20,3.9149570695314595,-0.15493911953934236,-0.0005410237109048713
